faculty_id, subject_id
1,1
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
3,11
3,12
3,13
3,14
3,15
4,16
4,17
4,18
4,19
4,20
5,21
5,22
5,23
5,24
5,25
6,26
6,27
6,28
6,29
6,30
7,31
7,32
7,33
7,34
7,35
8,36
8,37
8,38
8,39
8,40
9,41
9,42
9,43
9,44
9,45
10,46
10,47
10,48
10,49
10,50
11,51
11,52
11,53
11,54
11,55
12,56
12,57
12,58
12,59
12,60
13,61
13,62
13,63
13,64
13,65
14,66
14,67
14,68
14,69
14,70
15,71
15,72
15,73
15,74
15,75
16,76
16,77
16,78
16,79
16,80
17,81
17,82
17,83
17,84
17,85
18,86
18,87
18,88
18,89
18,90
19,91
19,92
19,93
19,94
19,95
20,96
20,97
20,98
20,99
20,100
